排名,CPU,TDP,实际频率,核心,线程,L2,L3
314,AMD Athlon PRO 300U,15,2400,2,4,1MB , 4MB
315,AMD Athlon 300U,15,2400,2,4,1MB , 4MB
317,Qualcomm Snapdragon 855,5,2840,8,8, , 5MB
320,Intel Core i3-6100U,15,2300,2,4,512KB , 3M
321,Intel Core i3-4110M,37,2600,2,4,512KB , 3M
322,Intel Core m3-7Y32,4,1000,2,4,512KB , 4M
323,Intel Celeron J4105,10,1500,4,4,4MB,
324,AMD FX-9800P,15,2700,4,4,2MB,
325,AMD PRO A12-9800B,15,2700,4,4,2MB,
326,Intel Core i5-2450M,35,2500,2,4,512KB , 3M
327,Intel Core i7-3517U,17,1900,2,4,512KB , 4M
328,Intel Core i3-4100M,37,2500,2,4,512KB , 3M
329,Intel Core i5-2435M,35,2400,2,4,512KB , 3M
330,Intel Core i5-2430M,35,2400,2,4,512KB , 3M
331,Intel Pentium Gold 5405U,15,2300,2,4,512KB , 2M
332,Intel Pentium Gold 4415U,15,2300,2,4,512KB , 2M
333,Intel Core i3-4000M,37,2400,2,4,512KB , 3M
334,Intel Core i3-4100E,37,2400,2,4,512KB , 3M
335,Intel Core i3-3130M,35,2600,2,4,512KB , 3M
336,Intel Core i5-2415M,35,2300,2,4,512KB , 3M
337,Intel Core i5-2410M,35,2300,2,4,512KB , 3M
338,Intel Core m3-7Y30,4,1000,2,4,512KB , 4M
339,Intel Core i5-3437U,17,1900,2,4,512KB , 3M
340,AMD A12-9720P,15,2700,4,4,2MB,
341,AMD A12-9700P,15,2500,4,4,2MB,
342,AMD FX-8800P,12,2100,4,4,2MB,
343,AMD Pro A12-8800B,12,2100,4,4,2MB,
344,Intel Core i5-4210U,15,1700,2,4,512KB , 3M
345,Intel Core i5-4260U,15,1400,2,4,512KB , 3M
346,AMD A10-9620P,15,2500,4,4,2MB,
347,Intel Celeron 3965U,15,2200,2,2,512KB , 2M
348,Intel Core i3-3120M,35,2500,2,4,512KB , 3M
349,Intel Core i5-3427U,17,1800,2,4,512KB , 3M
350,Intel Core i5-4402E,25,1600,2,4,512KB , 3M
351,Intel Core m7-6Y75,4,1200,2,4,512KB , 4M
352,Intel Pentium G860,65,3000,2,2,256KB , 3M
353,Intel Core i5-4200U,15,1600,2,4,512KB , 3M
354,Intel Core i5-4250U,15,1300,2,4,512KB , 3M
355,Intel Core i3-5020U,15,2200,2,4,512KB , 3M
356,Intel Core i3-7020U,15,2300,2,4,512KB , 3M
357,AMD A10-9600P,15,2400,4,4,2MB,
358,AMD PRO A8-9600B,15,2400,4,4,2MB,
359,Intel Core i3-3110M,35,2400,2,4,512KB , 3M
360,AMD FX-7600P,35,2700,4,4,4MB,
361,Intel Pentium 4405U,15,2100,2,4,512KB , 2M
362,Intel Core i7-2649M,25,2300,2,4,512KB , 4M
363,Intel Core i3-5010U,15,2100,2,4,512KB , 3M
364,Intel Core i3-5015U,15,2100,2,4,512KB , 3M
365,Intel Core i3-6006U,15,2000,2,4,512KB , 3M
366,Intel Core i3-2370M,35,2400,2,4,512KB , 3M
367,Intel Core i3-5005U,15,2000,2,4,512KB , 3M
368,Intel Core i3-2350M,35,2300,2,4,512KB , 3M
369,Intel Core i3-2348M,35,2300,2,4,512KB , 3M
370,Intel Core i5-3337U,17,1800,2,4,512KB , 3M
371,Intel Core m5-6Y57,4,1100,2,4,512KB , 4M
372,Intel Core m5-6Y54,4,1100,2,4,512KB , 4M
373,AMD A10-8700P,12,1800,4,4,2MB,
374,AMD Pro A10-8700B,12,1800,4,4,2MB,
375,Intel Core i7-4610Y,11,1700,2,4,512KB , 4M
376,Intel Core i7-2629M,25,2100,2,4,512KB , 4M
377,Intel Core i7-2677M,17,1800,2,4,512KB , 4M
378,AMD A10-7400P,35,2500,4,4,4MB,
379,Intel Pentium 3560M,37,2400,2,2,512KB , 2M
380,Intel Core i3-2330M,35,2200,2,4,512KB , 3M
381,Intel Core i3-2328M,35,2200,2,4,512KB , 3M
382,Intel Pentium 2030M,35,2500,2,2,512KB , 2M
383,Intel Pentium 3550M,37,2300,2,2,512KB , 2M
384,Intel Core i5-3317U,17,1700,2,4,512KB , 3M
385,AMD A8-8600P,12,1600,4,4,2MB,
386,AMD Pro A8-8600B,12,1600,4,4,2MB,
387,AMD A8-7200P,35,2400,4,4,4MB,
388,AMD A10-5750M,35,2500,4,4,4MB,
389,AMD A10-5757M,35,2500,4,4,4MB,
390,Intel Core i7-2637M,17,1700,2,4,512KB , 4M
391,Intel Core i7-2657M,17,1600,2,4,512KB , 4M
392,Intel Core i7-3689Y,13,1500,2,4,512KB , 4M
393,Intel Pentium 2020M,35,2400,2,2,512KB , 2M
394,Intel Core i3-4158U,28,2000,2,4,512KB , 3M
395,Intel Pentium 3825U,15,1900,2,4,512KB , 2M
396,Intel Core i3-4120U,15,2000,2,4,512KB , 3M
397,Intel Celeron J4005,10,2000,2,2,4MB,
398,Intel Celeron 2970M,37,2200,2,2,512KB , 2M
399,Intel Core i5-4300Y,11,1600,2,4,512KB , 3M
400,Intel Core i5-4302Y,11,1600,2,4,512KB , 3M
401,Intel Pentium B980,35,2400,2,2,512KB , 2M
402,Intel Core M-5Y71,4,1200,2,4,512KB , 4M
403,Intel Core i3-4030U,15,1900,2,4,512KB , 3M
404,Intel Core i3-4025U,15,1900,2,4,512KB , 3M
405,Intel Celeron 4205U,15,1800,2,2,512KB , 2M
406,Intel Celeron 3865U,15,1800,2,2,512KB , 2M
407,AMD A10-4600M,35,2300,4,4,4MB,
408,AMD A10-4657M,35,2300,4,4,4MB,
409,Intel Core i3-2312M,35,2100,2,4,512KB , 3M
410,Intel Core i3-2310M,35,2100,2,4,512KB , 3M
411,Intel Core i3-2308M,35,2100,2,4,512KB , 3M
412,Intel Core i5-2557M,17,1700,2,4,512KB , 3M
413,AMD A10-5745M,25,2100,4,4,4MB,
414,AMD A8-5550M,35,2100,4,4,4MB,
415,AMD A8-5557M,35,2100,4,4,4MB,
416,Intel Core m3-6Y30,4,900,2,4,512KB , 4M
417,Intel Core M-5Y51,4,1100,2,4,512KB , 4M
418,Intel Core M-5Y70,4,1100,2,4,512KB , 4M
419,Intel Pentium Silver N5000,6,1100,4,4,4MB,
420,AMD FX-7500,19,2100,4,4,4MB,
426,AMD A10 Pro-7350B,19,2100,4,4,4MB,
427,Intel Celeron 1020E,35,2200,2,2,512KB , 2MB
428,Intel Core M-5Y31,4,900,2,4,512KB , 4MB
429,Intel Core M-5Y10c,4,800,2,4,512KB , 4M
430,Intel Core M-5Y10a,4,800,2,4,512KB , 4M
431,Intel Core M-5Y10,4,800,2,4,512KB , 4M
436,Intel Core i7-2617M,17,1500,2,4,512KB , 4M
437,Intel Core i5-3439Y,13,1500,2,4,512KB , 3M
438,AMD A9-9425,10,3100,2,2,1MB,
440,AMD A9-9420,10,3000,2,2,1MB,
441,Intel Core i5-4202Y,11,1600,2,4,512KB , 3M
442,Intel Core i5-4220Y,11,1600,2,4,512KB , 3M
443,Intel Core i3-4100U,15,1800,2,4,512KB , 3M
444,Intel Pentium Gold 4425Y,6,1700,2,4,512KB , 2M
445,Intel Core i3-3227U,17,1900,2,4,512KB , 3M
446,AMD A6-6400K,65,3900,2,2,4MB,
447,AMD A9-9410,10,2900,2,2,1MB,
448,Intel Core i5-4210Y,11,1500,2,4,512KB , 3M
449,Intel Core i5-2467M,17,1600,2,4,512KB , 3M
450,Intel Core i5-3339Y,13,1500,2,4,512KB , 3M
